"localidade","cases","death","date"
"China","80,928","3,245","2020/3/19 9:56"
"Italy","35,713","2,978","2020/3/19 9:56"
"Iran","18,407","1,284","2020/3/19 9:56"
"Spain","17,147","767","2020/3/19 9:56"
"Germany","13,632","33","2020/3/19 9:56"
"USA","9,464","155","2020/3/19 9:56"
"France","9,134","264","2020/3/19 9:56"
"S. Korea","8,565","91","2020/3/19 9:56"
"Switzerland","3,438","36","2020/3/19 9:56"
"UK","2,626","108","2020/3/19 9:56"
"Netherlands","2,051","58","2020/3/19 9:56"
"Austria","1,843","5","2020/3/19 9:56"
"Belgium","1,795","21","2020/3/19 9:56"
"Norway","1,704","6","2020/3/19 9:56"
"Sweden","1,331","10","2020/3/19 9:56"
"Denmark","1,132","6","2020/3/19 9:56"
"Japan","923","32","2020/3/19 9:56"
"Malaysia","900","2","2020/3/19 9:56"
"Portugal","785","3","2020/3/19 9:56"
"Canada","727","9","2020/3/19 9:56"
"Diamond Princess","712","7","2020/3/19 9:56"
"Australia","709","6","2020/3/19 9:56"
"Czechia","572","","2020/3/19 9:56"
"Brazil","529","4","2020/3/19 9:56"
"Israel","529","","2020/3/19 9:56"
"Qatar","452","","2020/3/19 9:56"
"Greece","418","6","2020/3/19 9:56"
"Finland","400","","2020/3/19 9:56"
"Pakistan","380","2","2020/3/19 9:56"
"Ireland","366","2","2020/3/19 9:56"
"Singapore","345","","2020/3/19 9:56"
"Luxembourg","335","4","2020/3/19 9:56"
"Iceland","330","","2020/3/19 9:56"
"Poland","325","5","2020/3/19 9:56"
"Indonesia","309","25","2020/3/19 9:56"
"Slovenia","286","1","2020/3/19 9:56"
"Romania","277","","2020/3/19 9:56"
"Thailand","272","1","2020/3/19 9:56"
"Bahrain","268","1","2020/3/19 9:56"
"Estonia","267","","2020/3/19 9:56"
"Saudi Arabia","238","","2020/3/19 9:56"
"Chile","238","","2020/3/19 9:56"
"Philippines","217","17","2020/3/19 9:56"
"Egypt","210","6","2020/3/19 9:56"
"Hong Kong","208","4","2020/3/19 9:56"
"India","197","4","2020/3/19 9:56"
"Turkey","191","2","2020/3/19 9:56"
"Ecuador","168","3","2020/3/19 9:56"
"Iraq","164","12","2020/3/19 9:56"
"Peru","155","","2020/3/19 9:56"
"South Africa","150","","2020/3/19 9:56"
"Lebanon","149","4","2020/3/19 9:56"
"Kuwait","148","","2020/3/19 9:56"
"Russia","147","1","2020/3/19 9:56"
"San Marino","140","14","2020/3/19 9:56"
"Armenia","122","","2020/3/19 9:56"
"Mexico","118","1","2020/3/19 9:56"
"UAE","113","","2020/3/19 9:56"
"Panama","109","1","2020/3/19 9:56"
"Taiwan","108","1","2020/3/19 9:56"
"Slovakia","105","","2020/3/19 9:56"
"Croatia","102","1","2020/3/19 9:56"
"Colombia","102","","2020/3/19 9:56"
"Argentina","97","3","2020/3/19 9:56"
"Serbia","97","","2020/3/19 9:56"
"Bulgaria","94","3","2020/3/19 9:56"
"Latvia","86","","2020/3/19 9:56"
"Algeria","82","9","2020/3/19 9:56"
"Uruguay","79","","2020/3/19 9:56"
"Vietnam","76","","2020/3/19 9:56"
"Hungary","73","1","2020/3/19 9:56"
"Brunei","73","","2020/3/19 9:56"
"Faeroe Islands","72","","2020/3/19 9:56"
"Costa Rica","69","1","2020/3/19 9:56"
"Albania","64","2","2020/3/19 9:56"
"Sri Lanka","60","","2020/3/19 9:56"
"Morocco","58","2","2020/3/19 9:56"
"Cyprus","58","","2020/3/19 9:56"
"Jordan","56","","2020/3/19 9:56"
"Andorra","53","","2020/3/19 9:56"
"Malta","53","","2020/3/19 9:56"
"Belarus","51","","2020/3/19 9:56"
"Palestine","47","","2020/3/19 9:56"
"Bosnia and Herzegovina","45","","2020/3/19 9:56"
"Kazakhstan","44","","2020/3/19 9:56"
"North Macedonia","43","","2020/3/19 9:56"
"Georgia","40","","2020/3/19 9:56"
"Oman","39","","2020/3/19 9:56"
"Tunisia","39","","2020/3/19 9:56"
"Cambodia","37","","2020/3/19 9:56"
"Moldova","36","1","2020/3/19 9:56"
"Lithuania","36","","2020/3/19 9:56"
"Senegal","36","","2020/3/19 9:56"
"Venezuela","36","","2020/3/19 9:56"
