"localidade","cases","death","date"
"China","80,928","3,245","2020/3/19 9:44"
"Italy","35,713","2,978","2020/3/19 9:44"
"Iran","18,407","1,284","2020/3/19 9:44"
"Spain","17,147","767","2020/3/19 9:44"
"Germany","13,083","31","2020/3/19 9:44"
"USA","9,464","155","2020/3/19 9:44"
"France","9,134","264","2020/3/19 9:44"
"S. Korea","8,565","91","2020/3/19 9:44"
"Switzerland","3,347","36","2020/3/19 9:44"
"UK","2,626","104","2020/3/19 9:44"
"Netherlands","2,051","58","2020/3/19 9:44"
"Austria","1,843","5","2020/3/19 9:44"
"Belgium","1,795","21","2020/3/19 9:44"
"Norway","1,683","6","2020/3/19 9:44"
"Sweden","1,331","10","2020/3/19 9:44"
"Denmark","1,132","6","2020/3/19 9:44"
"Japan","923","32","2020/3/19 9:44"
"Malaysia","900","2","2020/3/19 9:44"
"Portugal","785","3","2020/3/19 9:44"
"Canada","727","9","2020/3/19 9:44"
"Diamond Princess","712","7","2020/3/19 9:44"
"Australia","709","6","2020/3/19 9:44"
"Czechia","572","","2020/3/19 9:44"
"Brazil","529","4","2020/3/19 9:44"
"Israel","529","","2020/3/19 9:44"
"Qatar","452","","2020/3/19 9:44"
"Greece","418","6","2020/3/19 9:44"
"Finland","400","","2020/3/19 9:44"
"Pakistan","380","2","2020/3/19 9:44"
"Ireland","366","2","2020/3/19 9:44"
"Luxembourg","335","4","2020/3/19 9:44"
"Iceland","330","","2020/3/19 9:44"
"Poland","325","5","2020/3/19 9:44"
"Singapore","313","","2020/3/19 9:44"
"Indonesia","309","25","2020/3/19 9:44"
"Slovenia","286","1","2020/3/19 9:44"
"Romania","277","","2020/3/19 9:44"
"Thailand","272","1","2020/3/19 9:44"
"Bahrain","268","1","2020/3/19 9:44"
"Estonia","267","","2020/3/19 9:44"
"Saudi Arabia","238","","2020/3/19 9:44"
"Chile","238","","2020/3/19 9:44"
"Philippines","217","17","2020/3/19 9:44"
"Egypt","210","6","2020/3/19 9:44"
