"localidade","cases","death","date"
"Hong Kong","208","4","2020/3/19 9:44"
"India","197","4","2020/3/19 9:44"
"Turkey","191","2","2020/3/19 9:44"
"Ecuador","168","3","2020/3/19 9:44"
"Iraq","164","12","2020/3/19 9:44"
"Peru","155","","2020/3/19 9:44"
"South Africa","150","","2020/3/19 9:44"
"Lebanon","149","4","2020/3/19 9:44"
"Kuwait","148","","2020/3/19 9:44"
"Russia","147","1","2020/3/19 9:44"
"San Marino","140","14","2020/3/19 9:44"
"Armenia","122","","2020/3/19 9:44"
"Mexico","118","1","2020/3/19 9:44"
"UAE","113","","2020/3/19 9:44"
"Panama","109","1","2020/3/19 9:44"
"Taiwan","108","1","2020/3/19 9:44"
"Slovakia","105","","2020/3/19 9:44"
"Croatia","102","1","2020/3/19 9:44"
"Colombia","102","","2020/3/19 9:44"
"Argentina","97","3","2020/3/19 9:44"
"Serbia","97","","2020/3/19 9:44"
"Bulgaria","94","3","2020/3/19 9:44"
"Latvia","86","","2020/3/19 9:44"
"Algeria","82","8","2020/3/19 9:44"
"Uruguay","79","","2020/3/19 9:44"
"Vietnam","76","","2020/3/19 9:44"
"Hungary","73","1","2020/3/19 9:44"
"Brunei","73","","2020/3/19 9:44"
"Faeroe Islands","72","","2020/3/19 9:44"
"Costa Rica","69","1","2020/3/19 9:44"
"Albania","64","2","2020/3/19 9:44"
"Sri Lanka","59","","2020/3/19 9:44"
"Morocco","58","2","2020/3/19 9:44"
"Cyprus","58","","2020/3/19 9:44"
"Jordan","56","","2020/3/19 9:44"
"Andorra","53","","2020/3/19 9:44"
"Malta","53","","2020/3/19 9:44"
"Belarus","51","","2020/3/19 9:44"
"Palestine","47","","2020/3/19 9:44"
"Bosnia and Herzegovina","45","","2020/3/19 9:44"
"Kazakhstan","44","","2020/3/19 9:44"
"North Macedonia","43","","2020/3/19 9:44"
"Georgia","40","","2020/3/19 9:44"
"Oman","39","","2020/3/19 9:44"
"Tunisia","39","","2020/3/19 9:44"
"Cambodia","37","","2020/3/19 9:44"
"Moldova","36","1","2020/3/19 9:44"
"Lithuania","36","","2020/3/19 9:44"
"Senegal","36","","2020/3/19 9:44"
"Venezuela","36","","2020/3/19 9:44"
"Dominican Republic","34","2","2020/3/19 9:44"
"Azerbaijan","34","1","2020/3/19 9:44"
"Burkina Faso","33","1","2020/3/19 9:44"
"Guadeloupe","33","","2020/3/19 9:44"
"New Zealand","28","","2020/3/19 9:44"
"Liechtenstein","28","","2020/3/19 9:44"
"Martinique","23","1","2020/3/19 9:44"
"Uzbekistan","23","","2020/3/19 9:44"
"Afghanistan","22","","2020/3/19 9:44"
"Bangladesh","18","1","2020/3/19 9:44"
"Macao","17","","2020/3/19 9:44"
"Ukraine","16","2","2020/3/19 9:44"
"Jamaica","15","1","2020/3/19 9:44"
"Bolivia","15","","2020/3/19 9:44"
"French Guiana","15","","2020/3/19 9:44"
"DRC","14","","2020/3/19 9:44"
"Réunion","14","","2020/3/19 9:44"
"Cameroon","13","","2020/3/19 9:44"
"Maldives","13","","2020/3/19 9:44"
"Guam","12","","2020/3/19 9:44"
"Honduras","12","","2020/3/19 9:44"
"Cuba","11","1","2020/3/19 9:44"
"Paraguay","11","","2020/3/19 9:44"
"Rwanda","11","","2020/3/19 9:44"
"Monaco","9","","2020/3/19 9:44"
"Ivory Coast","9","","2020/3/19 9:44"
"Ghana","9","","2020/3/19 9:44"
"Trinidad and Tobago","9","","2020/3/19 9:44"
"Guatemala","8","1","2020/3/19 9:44"
"Nigeria","8","","2020/3/19 9:44"
"Gibraltar","8","","2020/3/19 9:44"
"Montenegro","8","","2020/3/19 9:44"
"Channel Islands","7","","2020/3/19 9:44"
"Kenya","7","","2020/3/19 9:44"
"Ethiopia","6","","2020/3/19 9:44"
"French Polynesia","6","","2020/3/19 9:44"
"Mongolia","6","","2020/3/19 9:44"
"Puerto Rico","6","","2020/3/19 9:44"
"Seychelles","6","","2020/3/19 9:44"
"Tanzania","6","","2020/3/19 9:44"
"Guyana","4","1","2020/3/19 9:44"
"Aruba","4","","2020/3/19 9:44"
"Equatorial Guinea","4","","2020/3/19 9:44"
"Curaçao","3","1","2020/3/19 9:44"
"Bahamas","3","","2020/3/19 9:44"
"Gabon","3","","2020/3/19 9:44"
"Kyrgyzstan","3","","2020/3/19 9:44"
"Mauritius","3","","2020/3/19 9:44"
"Mayotte","3","","2020/3/19 9:44"
"St. Barth","3","","2020/3/19 9:44"
"Saint Martin","3","","2020/3/19 9:44"
"U.S. Virgin Islands","3","","2020/3/19 9:44"
"Sudan","2","1","2020/3/19 9:44"
"Barbados","2","","2020/3/19 9:44"
"Benin","2","","2020/3/19 9:44"
"Bermuda","2","","2020/3/19 9:44"
"Greenland","2","","2020/3/19 9:44"
"Liberia","2","","2020/3/19 9:44"
"Mauritania","2","","2020/3/19 9:44"
"Namibia","2","","2020/3/19 9:44"
"New Caledonia","2","","2020/3/19 9:44"
"Saint Lucia","2","","2020/3/19 9:44"
"Zambia","2","","2020/3/19 9:44"
"Cayman Islands","1","1","2020/3/19 9:44"
"Nepal","1","","2020/3/19 9:44"
"Antigua and Barbuda","1","","2020/3/19 9:44"
"Bhutan","1","","2020/3/19 9:44"
"CAR","1","","2020/3/19 9:44"
"Congo","1","","2020/3/19 9:44"
"Djibouti","1","","2020/3/19 9:44"
"El Salvador","1","","2020/3/19 9:44"
"Fiji","1","","2020/3/19 9:44"
"Gambia","1","","2020/3/19 9:44"
"Guinea","1","","2020/3/19 9:44"
"Vatican City","1","","2020/3/19 9:44"
"Montserrat","1","","2020/3/19 9:44"
"Nicaragua","1","","2020/3/19 9:44"
"St. Vincent Grenadines","1","","2020/3/19 9:44"
"Sint Maarten","1","","2020/3/19 9:44"
"Somalia","1","","2020/3/19 9:44"
"Suriname","1","","2020/3/19 9:44"
"Eswatini","1","","2020/3/19 9:44"
"Togo","1","","2020/3/19 9:44"
"Total:","225,724","9,278","2020/3/19 9:44"
"China","80,894","3,237","2020/3/19 9:44"
"Italy","35,713","2,978","2020/3/19 9:44"
"Iran","17,361","1,135","2020/3/19 9:44"
"Spain","14,769","638","2020/3/19 9:44"
"Germany","12,327","28","2020/3/19 9:44"
"USA","9,259","150","2020/3/19 9:44"
"France","9,134","264","2020/3/19 9:44"
"S. Korea","8,413","84","2020/3/19 9:44"
"Switzerland","3,115","33","2020/3/19 9:44"
"UK","2,626","104","2020/3/19 9:44"
"Netherlands","2,051","58","2020/3/19 9:44"
"Austria","1,646","4","2020/3/19 9:44"
"Norway","1,591","6","2020/3/19 9:44"
"Belgium","1,486","14","2020/3/19 9:44"
"Sweden","1,301","10","2020/3/19 9:44"
"Denmark","1,057","4","2020/3/19 9:44"
"Japan","914","29","2020/3/19 9:44"
"Malaysia","790","2","2020/3/19 9:44"
"Canada","727","9","2020/3/19 9:44"
"Diamond Princess","712","7","2020/3/19 9:44"
"Portugal","642","2","2020/3/19 9:44"
"Australia","596","6","2020/3/19 9:44"
"Brazil","529","4","2020/3/19 9:44"
"Czechia","522","","2020/3/19 9:44"
"Qatar","452","","2020/3/19 9:44"
"Israel","433","","2020/3/19 9:44"
"Greece","418","5","2020/3/19 9:44"
"Ireland","366","2","2020/3/19 9:44"
"Finland","359","","2020/3/19 9:44"
"Singapore","313","","2020/3/19 9:44"
"Pakistan","307","2","2020/3/19 9:44"
"Poland","287","5","2020/3/19 9:44"
"Slovenia","286","1","2020/3/19 9:44"
"Romania","260","","2020/3/19 9:44"
"Estonia","258","","2020/3/19 9:44"
"Bahrain","256","1","2020/3/19 9:44"
"Iceland","250","","2020/3/19 9:44"
"Saudi Arabia","238","","2020/3/19 9:44"
"Chile","238","","2020/3/19 9:44"
"Indonesia","227","19","2020/3/19 9:44"
"Thailand","212","1","2020/3/19 9:44"
"Egypt","210","6","2020/3/19 9:44"
"Luxembourg","203","2","2020/3/19 9:44"
"Philippines","202","17","2020/3/19 9:44"
"Hong Kong","193","4","2020/3/19 9:44"
"Turkey","191","2","2020/3/19 9:44"
"India","169","3","2020/3/19 9:44"
"Ecuador","168","3","2020/3/19 9:44"
"Iraq","164","12","2020/3/19 9:44"
"Russia","147","","2020/3/19 9:44"
"Peru","145","","2020/3/19 9:44"
"Kuwait","142","","2020/3/19 9:44"
"San Marino","140","14","2020/3/19 9:44"
"Lebanon","133","4","2020/3/19 9:44"
"South Africa","116","","2020/3/19 9:44"
"UAE","113","","2020/3/19 9:44"
"Armenia","110","","2020/3/19 9:44"
"Panama","109","1","2020/3/19 9:44"
"Slovakia","105","","2020/3/19 9:44"
"Taiwan","100","1","2020/3/19 9:44"
"Argentina","97","2","2020/3/19 9:44"
"Mexico","93","","2020/3/19 9:44"
"Colombia","93","","2020/3/19 9:44"
"Bulgaria","92","2","2020/3/19 9:44"
"Croatia","89","","2020/3/19 9:44"
"Serbia","89","","2020/3/19 9:44"
"Uruguay","79","","2020/3/19 9:44"
"Vietnam","76","","2020/3/19 9:44"
"Algeria","75","7","2020/3/19 9:44"
"Latvia","71","","2020/3/19 9:44"
"Costa Rica","69","1","2020/3/19 9:44"
"Brunei","68","","2020/3/19 9:44"
"Albania","59","2","2020/3/19 9:44"
"Hungary","58","1","2020/3/19 9:44"
"Cyprus","58","","2020/3/19 9:44"
"Faeroe Islands","58","","2020/3/19 9:44"
"Jordan","56","","2020/3/19 9:44"
"Morocco","54","2","2020/3/19 9:44"
"Andorra","53","","2020/3/19 9:44"
"Belarus","51","","2020/3/19 9:44"
"Sri Lanka","51","","2020/3/19 9:44"
"Malta","48","","2020/3/19 9:44"
"Palestine","44","","2020/3/19 9:44"
"North Macedonia","43","","2020/3/19 9:44"
"Oman","39","","2020/3/19 9:44"
"Bosnia and Herzegovina","39","","2020/3/19 9:44"
"Georgia","38","","2020/3/19 9:44"
"Cambodia","37","","2020/3/19 9:44"
"Moldova","36","1","2020/3/19 9:44"
"Senegal","36","","2020/3/19 9:44"
"Kazakhstan","36","","2020/3/19 9:44"
"Venezuela","36","","2020/3/19 9:44"
"Dominican Republic","34","2","2020/3/19 9:44"
"Azerbaijan","34","1","2020/3/19 9:44"
"Lithuania","34","","2020/3/19 9:44"
"Guadeloupe","33","","2020/3/19 9:44"
"Tunisia","29","","2020/3/19 9:44"
"Liechtenstein","28","","2020/3/19 9:44"
"Burkina Faso","27","1","2020/3/19 9:44"
"Martinique","23","1","2020/3/19 9:44"
"Afghanistan","22","","2020/3/19 9:44"
"New Zealand","20","","2020/3/19 9:44"
"Uzbekistan","18","","2020/3/19 9:44"
"Macao","17","","2020/3/19 9:44"
"Ukraine","16","2","2020/3/19 9:44"
"Jamaica","15","1","2020/3/19 9:44"
"French Guiana","15","","2020/3/19 9:44"
"Bangladesh","14","1","2020/3/19 9:44"
"Réunion","14","","2020/3/19 9:44"
"Cameroon","13","","2020/3/19 9:44"
"Maldives","13","","2020/3/19 9:44"
"Bolivia","12","","2020/3/19 9:44"
"Paraguay","11","","2020/3/19 9:44"
"Rwanda","11","","2020/3/19 9:44"
"Cuba","10","1","2020/3/19 9:44"
"Monaco","9","","2020/3/19 9:44"
"Ivory Coast","9","","2020/3/19 9:44"
"Honduras","9","","2020/3/19 9:44"
"Guatemala","8","1","2020/3/19 9:44"
"Nigeria","8","","2020/3/19 9:44"
"Gibraltar","8","","2020/3/19 9:44"
"Guam","8","","2020/3/19 9:44"
"Montenegro","8","","2020/3/19 9:44"
"Channel Islands","7","","2020/3/19 9:44"
"DRC","7","","2020/3/19 9:44"
"Ghana","7","","2020/3/19 9:44"
"Kenya","7","","2020/3/19 9:44"
"Trinidad and Tobago","7","","2020/3/19 9:44"
"Ethiopia","6","","2020/3/19 9:44"
"Mongolia","6","","2020/3/19 9:44"
"Puerto Rico","6","","2020/3/19 9:44"
"Seychelles","6","","2020/3/19 9:44"
"French Polynesia","5","","2020/3/19 9:44"
"Guyana","4","1","2020/3/19 9:44"
"Aruba","4","","2020/3/19 9:44"
"Equatorial Guinea","4","","2020/3/19 9:44"
"Curaçao","3","","2020/3/19 9:44"
"Gabon","3","","2020/3/19 9:44"
"Kyrgyzstan","3","","2020/3/19 9:44"
"Mauritius","3","","2020/3/19 9:44"
"Mayotte","3","","2020/3/19 9:44"
"St. Barth","3","","2020/3/19 9:44"
"Saint Martin","3","","2020/3/19 9:44"
"Tanzania","3","","2020/3/19 9:44"
"Sudan","2","1","2020/3/19 9:44"
"Barbados","2","","2020/3/19 9:44"
"Benin","2","","2020/3/19 9:44"
"Bermuda","2","","2020/3/19 9:44"
"Greenland","2","","2020/3/19 9:44"
"Liberia","2","","2020/3/19 9:44"
"Mauritania","2","","2020/3/19 9:44"
"Namibia","2","","2020/3/19 9:44"
"New Caledonia","2","","2020/3/19 9:44"
"Saint Lucia","2","","2020/3/19 9:44"
"U.S. Virgin Islands","2","","2020/3/19 9:44"
"Zambia","2","","2020/3/19 9:44"
"Cayman Islands","1","1","2020/3/19 9:44"
"Nepal","1","","2020/3/19 9:44"
"Antigua and Barbuda","1","","2020/3/19 9:44"
"Bahamas","1","","2020/3/19 9:44"
"Bhutan","1","","2020/3/19 9:44"
"CAR","1","","2020/3/19 9:44"
"Congo","1","","2020/3/19 9:44"
"Djibouti","1","","2020/3/19 9:44"
"Gambia","1","","2020/3/19 9:44"
"Guinea","1","","2020/3/19 9:44"
"Vatican City","1","","2020/3/19 9:44"
"Montserrat","1","","2020/3/19 9:44"
"St. Vincent Grenadines","1","","2020/3/19 9:44"
"Sint Maarten","1","","2020/3/19 9:44"
"Somalia","1","","2020/3/19 9:44"
"Suriname","1","","2020/3/19 9:44"
"Eswatini","1","","2020/3/19 9:44"
"Togo","1","","2020/3/19 9:44"
"Total:","218,788","8,943","2020/3/19 9:44"
