"localidade","cases","death","date"
"Mayotte","3","","2020/3/19 17:7"
"St. Barth","3","","2020/3/19 17:7"
"Saint Martin","3","","2020/3/19 17:7"
"U.S. Virgin Islands","3","","2020/3/19 17:7"
"Sudan","2","1","2020/3/19 17:7"
"Barbados","2","","2020/3/19 17:7"
"Benin","2","","2020/3/19 17:7"
"Bermuda","2","","2020/3/19 17:7"
"Greenland","2","","2020/3/19 17:7"
"Liberia","2","","2020/3/19 17:7"
"Mauritania","2","","2020/3/19 17:7"
"Namibia","2","","2020/3/19 17:7"
"New Caledonia","2","","2020/3/19 17:7"
"Saint Lucia","2","","2020/3/19 17:7"
"Zambia","2","","2020/3/19 17:7"
"Cayman Islands","1","1","2020/3/19 17:7"
"Nepal","1","","2020/3/19 17:7"
"Antigua and Barbuda","1","","2020/3/19 17:7"
"Bhutan","1","","2020/3/19 17:7"
"CAR","1","","2020/3/19 17:7"
"Chad","1","","2020/3/19 17:7"
"Congo","1","","2020/3/19 17:7"
"Djibouti","1","","2020/3/19 17:7"
"El Salvador","1","","2020/3/19 17:7"
"Fiji","1","","2020/3/19 17:7"
"Gambia","1","","2020/3/19 17:7"
"Guinea","1","","2020/3/19 17:7"
"Vatican City","1","","2020/3/19 17:7"
"Montserrat","1","","2020/3/19 17:7"
"Nicaragua","1","","2020/3/19 17:7"
"St. Vincent Grenadines","1","","2020/3/19 17:7"
"Sint Maarten","1","","2020/3/19 17:7"
"Somalia","1","","2020/3/19 17:7"
"Suriname","1","","2020/3/19 17:7"
"Eswatini","1","","2020/3/19 17:7"
"Togo","1","","2020/3/19 17:7"
"Total:","231,362","9,390","2020/3/19 17:7"
"China","80,894","3,237","2020/3/19 17:7"
"Italy","35,713","2,978","2020/3/19 17:7"
"Iran","17,361","1,135","2020/3/19 17:7"
"Spain","14,769","638","2020/3/19 17:7"
"Germany","12,327","28","2020/3/19 17:7"
"USA","9,259","150","2020/3/19 17:7"
"France","9,134","264","2020/3/19 17:7"
"S. Korea","8,413","84","2020/3/19 17:7"
"Switzerland","3,115","33","2020/3/19 17:7"
"UK","2,626","104","2020/3/19 17:7"
"Netherlands","2,051","58","2020/3/19 17:7"
"Austria","1,646","4","2020/3/19 17:7"
"Norway","1,591","6","2020/3/19 17:7"
"Belgium","1,486","14","2020/3/19 17:7"
"Sweden","1,301","10","2020/3/19 17:7"
"Denmark","1,057","4","2020/3/19 17:7"
"Japan","914","29","2020/3/19 17:7"
"Malaysia","790","2","2020/3/19 17:7"
"Canada","727","9","2020/3/19 17:7"
"Diamond Princess","712","7","2020/3/19 17:7"
"Portugal","642","2","2020/3/19 17:7"
"Australia","596","6","2020/3/19 17:7"
"Brazil","529","4","2020/3/19 17:7"
"Czechia","522","","2020/3/19 17:7"
"Qatar","452","","2020/3/19 17:7"
"Israel","433","","2020/3/19 17:7"
"Greece","418","5","2020/3/19 17:7"
"Ireland","366","2","2020/3/19 17:7"
"Finland","359","","2020/3/19 17:7"
"Singapore","313","","2020/3/19 17:7"
"Pakistan","307","2","2020/3/19 17:7"
"Poland","287","5","2020/3/19 17:7"
"Slovenia","286","1","2020/3/19 17:7"
"Romania","260","","2020/3/19 17:7"
"Estonia","258","","2020/3/19 17:7"
"Bahrain","256","1","2020/3/19 17:7"
"Iceland","250","","2020/3/19 17:7"
"Saudi Arabia","238","","2020/3/19 17:7"
"Chile","238","","2020/3/19 17:7"
"Indonesia","227","19","2020/3/19 17:7"
"Thailand","212","1","2020/3/19 17:7"
"Egypt","210","6","2020/3/19 17:7"
"Luxembourg","203","2","2020/3/19 17:7"
"Philippines","202","17","2020/3/19 17:7"
"Hong Kong","193","4","2020/3/19 17:7"
"Turkey","191","2","2020/3/19 17:7"
"India","169","3","2020/3/19 17:7"
"Ecuador","168","3","2020/3/19 17:7"
"Iraq","164","12","2020/3/19 17:7"
"Russia","147","","2020/3/19 17:7"
"Peru","145","","2020/3/19 17:7"
"Kuwait","142","","2020/3/19 17:7"
"San Marino","140","14","2020/3/19 17:7"
"Lebanon","133","4","2020/3/19 17:7"
"South Africa","116","","2020/3/19 17:7"
"UAE","113","","2020/3/19 17:7"
"Armenia","110","","2020/3/19 17:7"
"Panama","109","1","2020/3/19 17:7"
"Slovakia","105","","2020/3/19 17:7"
"Taiwan","100","1","2020/3/19 17:7"
"Argentina","97","2","2020/3/19 17:7"
"Mexico","93","","2020/3/19 17:7"
"Colombia","93","","2020/3/19 17:7"
"Bulgaria","92","2","2020/3/19 17:7"
"Croatia","89","","2020/3/19 17:7"
"Serbia","89","","2020/3/19 17:7"
"Uruguay","79","","2020/3/19 17:7"
"Vietnam","76","","2020/3/19 17:7"
"Algeria","75","7","2020/3/19 17:7"
"Latvia","71","","2020/3/19 17:7"
"Costa Rica","69","1","2020/3/19 17:7"
"Brunei","68","","2020/3/19 17:7"
"Albania","59","2","2020/3/19 17:7"
"Hungary","58","1","2020/3/19 17:7"
"Cyprus","58","","2020/3/19 17:7"
"Faeroe Islands","58","","2020/3/19 17:7"
"Jordan","56","","2020/3/19 17:7"
"Morocco","54","2","2020/3/19 17:7"
"Andorra","53","","2020/3/19 17:7"
"Belarus","51","","2020/3/19 17:7"
"Sri Lanka","51","","2020/3/19 17:7"
"Malta","48","","2020/3/19 17:7"
"Palestine","44","","2020/3/19 17:7"
"North Macedonia","43","","2020/3/19 17:7"
"Oman","39","","2020/3/19 17:7"
"Bosnia and Herzegovina","39","","2020/3/19 17:7"
"Georgia","38","","2020/3/19 17:7"
"Cambodia","37","","2020/3/19 17:7"
"Moldova","36","1","2020/3/19 17:7"
"Senegal","36","","2020/3/19 17:7"
"Kazakhstan","36","","2020/3/19 17:7"
"Venezuela","36","","2020/3/19 17:7"
"Dominican Republic","34","2","2020/3/19 17:7"
"Azerbaijan","34","1","2020/3/19 17:7"
"Lithuania","34","","2020/3/19 17:7"
"Guadeloupe","33","","2020/3/19 17:7"
"Tunisia","29","","2020/3/19 17:7"
"Liechtenstein","28","","2020/3/19 17:7"
"Burkina Faso","27","1","2020/3/19 17:7"
"Martinique","23","1","2020/3/19 17:7"
"Afghanistan","22","","2020/3/19 17:7"
"New Zealand","20","","2020/3/19 17:7"
"Uzbekistan","18","","2020/3/19 17:7"
"Macao","17","","2020/3/19 17:7"
"Ukraine","16","2","2020/3/19 17:7"
"Jamaica","15","1","2020/3/19 17:7"
"French Guiana","15","","2020/3/19 17:7"
"Bangladesh","14","1","2020/3/19 17:7"
"Réunion","14","","2020/3/19 17:7"
"Cameroon","13","","2020/3/19 17:7"
"Maldives","13","","2020/3/19 17:7"
"Bolivia","12","","2020/3/19 17:7"
"Paraguay","11","","2020/3/19 17:7"
"Rwanda","11","","2020/3/19 17:7"
"Cuba","10","1","2020/3/19 17:7"
"Monaco","9","","2020/3/19 17:7"
"Ivory Coast","9","","2020/3/19 17:7"
